"Totals, Female: Cumulative GPA (Tot. F)","Totals, Male: Cumulative GPA (Tot. M)"
3.42,3.43
3.42,3.43
3.43,3.43
3.65,3.44
3.4,3.41
3.27,3.18
3.21,3.1
3.18,3.07
3.13,3.05
3.03,3.01
3.09,2.96
3.03,2.94
2.98,2.98
2.99,2.93
2.93,3
3.08,3
3.03,3.03
3.28,3.13
3.31,3.27
2.72,2.85
2.69,2.81
2.8,2.71
2.66,2.71
2.73,2.88
2.96,2.92
2.93,2.94
2.93,2.93
2.95,2.91
2.96,2.99
2.97,3.04
3.03,3.02
3.01,3
3.03,3.08
3.03,3.06
3.03,3.03
3.07,3.06
3.18,3.12
3.27,3.05
3.08,2.87
3.12,2.89
2.89,2.9
3.08,2.95
3.03,2.81
3.1,2.89
2.8,2.9
3.08,2.94
3.43,3.49
2.89,2.87
2.64,2.93
2.58,2.29
2.36,2.37
2.47,2.49
2.49,2.45
2.56,2.52
2.68,2.53
2.88,2.87
3.01,2.9
3.02,2.94
2.75,2.71
3.14,3.07
3.04,2.01
3.04,3.02
3.01,2.95
2.67,2.93
2.89,2.98
3.19,2.88
2.85,2.88
3.04,2.9
3.21,2.88
2.38,2.99
2.79,2.59
2.85,2.7
3.07,2.88
3.13,2.15
1.75,2.9
3.07,2.63
2.5,2.3
3.11,2.95
3.15,2.96
3.06,2.92
2.98,2.92
3.07,2.95
3.21,2.9
3.27,2.9
3.1,2.88
3.04,2.2
2.58,2.21
3.24,3.02
2.93,2.79
2.86,2.7
2.99,2.75
2.93,2.77
3.16,2.73
3,3
3.1,3
3.34,3.15
3.13,3.16
3.26,2.98
2.8,3
3.7,2.7
3.81,3.06
3.35,3
3.08,2.97
3.16,2.98
3.09,2.97
3.16,2.97
3.15,3.03
3.29,3.52
3.39,3.32
3.38,3.52
3.54,3.54
3.55,3.43
3.2,3.13
3.1,3.11
2.96,2.95
3.28,3.08
3.34,3.28
3.43,2.98
3.44,3.06
3.22,3.11
3.32,3.22
3.21,3.21
3.31,2.93
3.15,3
3.98,2.88
2.91,2.94
3.2,3.16
2.46,3.19
3.33,3.32
3.28,3.16
3.16,3.01
3.26,3.08
3.16,2.84
3,2.94
2.8,2.5
2.9,2.6
3.2,2.8
2.9,2.83
2.79,2.79
2.91,2.8
3.09,2.86
3.35,3.35
3.52,3.37
3.21,3.17
3.29,3.24
3.27,3.22
3.3,3.08
3.22,3.05
3.44,3.15
3.39,3
3.32,3.04
3.05,2.91
3.2,2.85
2.94,2.89
3.46,2.82
3.1,2.9
3.11,2.93
3.01,2.91
2.92,2.89
3,2.84
2.8,2.81
2.81,2.75
2.92,2.79
2.95,2.83
3.04,2.51
3.2,3.1
3.2,3.1
3.3,3.1
3.3,3.1
2.7,2.5
2.7,2.5
3.18,3.03
3.22,2.99
3.34,2.99
3.13,2.96
3.26,2.95
3.27,2.99
3.03,2.52
2.87,2.84
2.48,2.64
3.29,2.87
2.89,2.8
3.1,2.82
3.16,2.92
3.17,2.81
3.14,2.82
3.4,3.2
3.05,3
3.17,2.93
3.25,2.9
3.26,2.88
3.29,2.84
2.8,2.8
2.75,2.72
2.94,2.79
2.84,2.77
2.86,2.83
3.35,3.38
3.38,3.42
2.5,2.6
2.5,2.5
2.75,2.5
3,2.9
3,3
3,2.95
2.88,2.98
3.06,3.07
3.02,2.92
2.98,2.98
3.03,2.99
3.15,3.03
3.23,3.04
3.2,3.07
3.15,3.06
3.25,3.08
3.21,3.01
3.11,2.87
3.1,2.94
3.13,2.98
3.13,3
3.24,3.13
3,2.99
2.93,3.01
2.96,3.1
3.31,3.47
3.36,3.44
3.28,3.13
3.4,3.4
3.38,3.44
3.07,3.05
3.13,3.02
3.23,3.12
3.25,3.17
3.3,3.14
3.32,3.18
3.34,3.17
3.36,3.18
3.4,3.2
3.05,3.07
3.22,2.98
3.25,3.08
3.23,3.1
3.33,3.13
3.07,3.01
3.24,3.05
3.24,3.02
3.09,3
3.16,2.73
3.13,2.78
3.15,3.12
3.17,3.1
3.31,2.97
3.08,2.89
3.3,2.93
3.42,3.17
3.66,3.2
3.69,3.24
3.25,3.28
3.35,3.26
3.34,3.27
3.3,3.28
3.33,3.31
3.345,3.33
3.59,3.2
3.62,3.2
3.12,3.35
3.38,3.34
3.34,3.31
3.362,3.302
3.23,2.82
3.03,2.85
3.53,3.07
2.95,3
3.36,3.21
3.64,2.86
3.05,2.95
3.1,3.08
3.03,2.95
2.9,3
3.02,2.8
2.78,2.81
2.86,2.89
3.09,2.84
2.95,2.93
2.93,2.81
3.05,2.92
2.95,2.86
3.02,3.11
3.34,2.81
3.21,3.02
3.04,2.79
3.09,2.82
2.85,2.87
3.24,2.87
3.34,2.89
2.98,2.86
3,2.9
3.08,2.89
3.16,2.93
3.11,2.95
2.8,2.17
1.67,2.05
2.93,1.84
2.06,2
3.24,2.9
3.23,2.97
3.37,2.87
3.09,2.83
3.17,3.19
3.16,3.14
3.37,2.92
3.28,3.06
3.23,3.18
3.22,3.21
3.29,3.28
3.23,3.3
3.08,2.82
3,2.78
2.66,2.89
3.14,2.86
3.45,3.45
3.48,3.22
3.3,3.43
3.21,3.33
3.14,3.05
2.79,2.54
2.77,2.82
3.09,2.88
2.98,2.88
2.92,2.92
3.09,2.92
3.15,2.97
3.19,3.02
3.06,3.03
3.438,3.423
3.311,2.98
3,3
3.02,3.09
3.77,3.01
2.92,3.06
3.26,3.1
3.412,3.297
3.345,3.33
3.44,3.14
3.38,2.82
2.82,2.48
3.2,3.3
3.3,3.06
3.4,3.42
4.03,4.03
3.17,3.19
3.16,3.18
3.16,3.3
3.35,3.38
3.37,3.45
3.3,2.95
3.12,3.04
3.2,3.2
3.32,2.89
2.35,2.03
3.15,2.15
3.36,3.1
2.94,2.9
3.32,3.19
3.07,2.71
2.88,2.75
2.78,2.75
2.7,2.8
2.93,2.82
2.94,2.71
2.9,2.72
2.91,2.79
3.2,2.7
3.2,2.9
3.71,3.56
2.27,3.47
3.14,3.07
3.07,3.04
3.09,3.13
3.17,3.16
3.41,3.18
3.28,3.07
3.24,3.16
2.85,2.82
2.83,2.86
3.06,2.87
2.95,2.94
3.05,2.86
3.51,3.45
3.24,3.4
3.17,3.32
3.39,3.28
3.55,3.4
3.47,3.09
3.44,3.31
3.48,3.09
2.97,3.24
3.58,3.46
3.08,2.81
2.45,2.5
2.2,2.4
3.89,2.81
3.22,2.9
3.19,2.71
2.84,2.76
3.05,3.06
2.84,2.67
3.27,2.79
2.38,2.67
3.2,2.7
2.55,2.63
3.59,3.52
3.56,3.42
3.22,3.37
3.43,3.38
3.54,3.31
3.2,3.5
3.15,2.76
2.74,3.03
3.27,3.05
3.45,2.85
3.31,3
3.23,2.99
3.25,3.51
3.23,2.71
3.03,3.1
3.1,2.9
3.2,2.9
3.1,3
3.21,2.91
3.05,2.86
3.18,2.92
3.07,2.93
3.12,2.9
3.12,2.91
3.14,2.9
3.19,2.9
3.4,2.9
3.021,2.91
3.295,2.909
3.287,2.76
3.345,2.748
3.291,2.925
3.15,2.95
3.2,3.03
3.05,2.98
3.02,3.02
2.91,3.06
3.1,3
3.3,3.1
3.3,3.1
3.3,3.1
2.98,2.75
3.38,3.37
3,3
3.5,4
3.21,3.3
3.22,3.25
3.17,3.26
3.36,3.24
3.25,3.19
2.99,2.87
2.83,2.83
2.94,2.85
3.02,2.91
3.01,2.83
3.24,3.26
3.2,3.2
3.3,3.2
3.2,3.2
3.3,3.1
3.22,3.15
3.28,3.15
3.33,3.08
3.2,3.1
3.2,3
3.2,3.1
3.1,3.1
2.92,2.8
3.02,2.93
3.36,3.05
3.44,3.11
3.36,3.09
3.33,2.95
3.48,3.1
3.4,3.03
3.02,2.93
3.02,2.95
2.75,2.75
2.88,2.74
2.63,2.77
2.8,2.67
3.1,3
3.1,3
2.8,3
2.7,2.9
2.97,2.97
2.92,2.97
3.08,2.89
3.2,2.85
3.19,2.79
3.1,2.99
2.96,2.89
3.11,2.83
3.15,2.93
2.9,3.02
2.85,2.83
2.47,2.91
2.91,3.01
3.28,2.98
3.13,2.98
3.3,3.3
3,2.83
3.02,2.96
3.25,3
3.04,2.94
3.16,2.96
2.83,2.67
2.52,2.7
2.95,2.65
3.13,2.76
2.92,2.71
2.99,2.98
2.51,2.41
2.56,2.48
2.93,2.89
3.01,2.83
2.94,2.79
2.87,2.85
3.17,3.16
2.99,3.02
3.18,3
2.83,2.6
2.98,2.9
3.2,3
3.25,3.05
2.94,2.99
3.47,3.21
3.17,3.42
3.56,3.24
3.5,3.29
3.02,3.22
3.54,3.12
3.37,2.78
3.49,3.15
2.71,3.33
3.2,2.9
3.33,2.9
3.2,2.9
3.1,2.9
3.27,2.96
2.85,2.82
3.01,2.62
2.43,2.64
2.85,2.85
2.22,2.95
3.04,2.78
2.78,2.83
2.85,2.86
2.87,2.92
2.9,2.89
3.25,2.94
3.07,2.93
2.97,2.95
3.01,2.9
3.02,2.91
3.01,2.87
2.89,3.05
3.07,3.05
2.8,3
3.2,3.25
3.37,3.19
3.3,3.3
3.3,3.2
3.2,3.3
3.221,3.046
3.151,3.026
3.137,2.989
3.179,3.127
3.139,3.128
2.945,2.947
2.85,2.81
3.14,3.01
3.09,2.98
3.04,2.76
2.58,2.95
2.88,2.86
2.99,2.93
2.61,2.89
2.8,2.78
2.52,3
3.06,2.94
2.64,2.95
2.96,3
3.09,2.85
3.06,2.8
3.12,2.83
2.86,2.63
3.1,3.1
3,3.1
3.2,3.1
3.2,3.1
3.05,2.81
3.04,3
3.14,3.11
3.11,3.09
2.93,3
3.26,3.14
3.19,3.1
3.07,3.12
3.12,2.98
3.3,3.3
3.16,2.92
3.14,2.87
3.01,2.9
3.09,3.05
3.11,3.01
3.11,2.99
2.76,2.44
2.68,2.45
2.94,3.01
2.88,3.02
2.92,3.08
2.84,3.01
2.89,3.04
2.88,2.98
2.95,2.97
3.05,3.03
3.03,3.05
3.32,3.21
2.99,2.99
3.04,3.04
3.07,3
3.23,3.08
3.25,3.07
3.27,3.13
3.12,3.12
3.11,2.96
3.12,3.04
3.01,2.9
3.08,2.83
3.25,3.13
3.13,3.08
3.17,3.1
3.42,3.03
3.29,3.08
3.57,3.15
3.54,3.25
3.44,3.2
3.34,3.11
3.21,3.2
3.39,3.2
3.1,2.9
3.2,3
3,2.9
2.99,2.9
3.1,2.9
3.1,3
2.8,2.88
3.45,2.8
2.49,2.78
2.6,2.28
2.66,2.46
2.57,2.57
2.82,2.4
3.27,2.98
3.13,2.95
3.03,2.94
3,2.97
3.21,2.94
3.23,3.01
2.98,3.03
3.1,3.01
2.9,2.96
3.09,2.93
3.15,2.97
3.17,2.98
3.01,2.82
2.07,2.91
3.04,2.91
2.93,2.82
2.97,2.84
3.27,2.99
3.17,2.91
3.08,2.98
3.01,2.96
2.8,2.87
2.91,3.03
3.3,3
3.1,3
3.19,3.14
2.94,2.64
2.76,2.71
2.43,2.69
2.74,2.98
2.73,2.76
2.34,2.22
3.46,3.27
3.48,3.13
3.2,3.4
3.5,3.4
3.6,3.5
2.89,2.77
3.22,3.02
2.71,2.97
3.05,2.93
3.17,3
3.39,2.91
2.77,2.76
3.4,3.2
3.4,3.1
3.4,3.1
3.3,3
3.2,3.2
3.2,3.2
3.2,3.2
3.4,3.2
3.04,2.89
3.09,2.92
3.22,2.9
3.26,2.96
3.13,2.85
3.07,2.83
2.97,2.85
3.01,2.85
3.01,2.85
3.17,3.1
2.74,2.73
2.79,2.61
3.01,2.87
3.14,2.93
3.14,2.98
3.16,3.07
3.1,3.06
3.15,3.08
3.12,3.06
3.15,3.09
3.12,3.07
3.27,3.3
3.3,3.18
3.27,3.15
3.23,3.15
3.18,3.31
3.13,3.29
3.25,3.33
3.35,3.35
3.3,3.14
3.11,3.16
3.32,3.16
3.13,3.07
3.57,3.07
3.68,3.1
3.35,3.2
3.44,3.13
3.29,3.14
3.2,3.08
3.1,3.11
3.1,3
2.8,2.9
3.1,2.98
2.9,2.9
3,2.8
2.87,2.78
3.1,2.67
2.85,2.63
2.6,2.74
2.78,2.71
2.83,2.22
2.01,2.02
3.48,2.23
2.26,2.08
2.98,3.04
3.17,3.13
3.17,3.17
3.24,3.18
3.21,3.24
3.06,3.06
3.42,3.29
3.22,3
3.28,3.29
2.46,2.22
2.6,2.13
3.05,2.93
1.98,3.56
2.74,2.99
2.88,3.05
2.99,2.95
3.09,2.93
3.01,2.99
3.14,3.01
3.18,3.07
3.08,3.05
3.22,3.11
3.06,3.12
3.25,3.13
3.4,3.1
3.4,3.1
3.3,3.1
3.1,3.1
2.84,2.66
2.78,2.71
2.96,2.77
2.86,2.79
2.49,2.62
2.95,2.78
2.91,2.8
3.45514,3.26494
2.88,2.63
2.44,2.58
2.61,2.77
2.7,2.47
2.4,2.54